lon,lat,price,n
18.3793897,-33.9283054,14995000,103
18.4543113,-34.0479376,3995000.0000000005,35
18.4424414,-33.9905944,15900000,38
18.3824618,-33.951298,13641333.333333334,348
18.3654694,-34.0883333,4808000,33
18.4190738,-33.919835649999996,3093500,1407
18.3867512,-34.1340394,2600000,39
18.4721169,-33.9860035,2639833.3333333335,401
18.3738363,-33.941476,26499975,56
18.430572,-34.1215036,4495000,17
18.431003,-34.0217122,11635277.777777778,208
18.4646978,-34.0342279,1725531.5,86
18.474349699999998,-34.04144275,1924750,3
18.41610665,-34.1304498,2800625,157
18.4409577,-33.9221814,3250000,103
18.3875487,-33.9250297,9950000,167
18.403021600000002,-33.9380845,8747500,292
18.4276047,-34.16351925,3379166.666666667,45
18.5062468,-33.9551508,1894499.9999999998,6
18.4676654,-34.047214,1150000,49
18.3637231,-34.0234184,6908750,322
18.4461507,-34.1291678,5300000,28
18.4729421,-33.9948234,2343750,277
18.4543113,-34.06944780000001,2495000.0000000005,21
18.340081,-34.1398324,4155000.0000000005,59
18.4557951,-34.0866913,3575000.0000000005,28
18.4914073,-34.0731057,499999.00000000006,11
18.3430475,-34.0099528,27000000.000000004,42
18.4854717,-33.9341454,799500,2
18.4500406,-34.0327786,4095000.0000000005,8
18.3634431,-34.1846012,11299999.999999998,6
18.482110050000003,-33.9500125,1973750,105
18.4773104,-34.09113245,3514166.6666666665,237
18.4483763,-33.9789129,6449999.999999999,148
18.3912573,-34.1067208,8847111.111111112,89
18.4687792,-33.9382014,1995000,333
18.3534306,-34.1495402,850000,17
18.4127686,-33.9413411,2750000,140
18.4761775,-34.0259442,2195000,150
18.4721169,-34.0613123,1107333.3333333333,28
18.483145649999997,-33.9600257,2750000,243
18.497343,-33.97536830000001,3850000,26
18.4754075,-33.95400619999999,1525000,87
18.4636911,-33.9293172,1800000,79
18.3738548,-34.1969183,5699000,21
18.4142522,-33.9182226,3324999.9999999995,60
18.3875487,-33.9169494,3995000.0000000005,726
18.4825039,-34.0771751,707000,4
18.43664235,-34.19596705000001,3288750,112
18.4854717,-34.036387,2295000,25
18.4550532,-34.1197277,12499999.999999998,30
18.46548025,-34.0764586,1622500,17
18.383957199999998,-34.12732645,1736250,49
18.395007149999998,-34.12251195,2160000,7
18.5003109,-33.9560712,2800000,3
18.4023837,-33.9281313,3195000.0000000005,91
18.4246444,-34.0718092,10776999.799999999,132
18.42760475,-33.93905235,3535000.0000000005,205
18.4424414,-34.0799952,6421666.666666667,58
18.4497262,-33.9351863,2615833.3333333335,445
18.4661816,-34.00844560000001,1585000,280
18.428346349999998,-33.930046250000004,7890000,231
