lon,lat,Price,n
18.4233392,-34.1939746,1650000,10
18.5031981,-33.9644851,1799000,33
18.8694618,-34.0770688,5297500,4
18.3816148,-33.9636423,19975000,18
18.3793897,-33.9283054,14995000,103
18.3676884,-34.0438171,6900000,11
18.4483763,-33.7471897,1850000,41
18.4305563,-34.0118563,35000000,1
18.5181188,-33.9694547,1497500,6
18.5151507,-33.9833679,2599000,6
18.3912573,-34.101375,8900000,7
18.3601056,-34.0362555,6200000,8
18.4543113,-34.0479376,3995000,35
18.4424414,-33.9905944,23950000,31
18.4424414,-33.9905944,7850000,7
18.3555565,-34.1398324,3692500,8
18.4142522,-33.9182226,3325000,60
18.3883333,-34.0280556,5625000,4
18.4813171,-33.9084907,949500,52
18.4839878,-34.0594717,822000,2
18.4293987,-34.1621946,5800000,7
18.3830983,-33.951298,14950000,329
18.4187029,-33.9242692,2290000,1147
18.3867512,-34.1340394,2600000,39
18.4884394,-34.0923802,2400000,32
18.4293478,-33.9287627,14000000,1
18.3942243,-34.1157007,1960000,30
18.3594444,-34.0883333,5697500,14
18.4721169,-33.9860035,2350000,167
18.4721169,-33.9860035,3250000,200
18.3738363,-33.941476,26499975,56
18.430572,-34.1215036,4495000,17
18.4230789,-34.0257608,12500000,197
18.4373766,-34.0083297,14500000,1
18.4159523,-34.0217122,7095000,1
18.3906915,-34.0119808,5172500,10
18.4825039,-34.0959888,1100000,9
18.5032788,-33.9798291,4125000,24
18.3875487,-34.1079957,3700000,10
18.4194447,-33.9154021,3897000,260
18.4320557,-33.9370192,3575000,6
18.4268629,-34.1711061,3335000,4
18.4646978,-34.0342279,1725531.5,86
37.7922428,-46.7943896,3750000,1
18.4736007,-34.0436054,1199500,2
18.51524,-33.9092399,815000,1
18.3853235,-34.129169,2150000,7
18.4943751,-34.0242493,2395000,3
18.5013601,-34.01830270000001,1822500,2
18.4187029,-34.1340882,2165000,149
18.4409577,-33.9221814,3250000,103
18.3875487,-33.9250297,9950000,167
18.4535694,-34.2072437,5495000,5
18.460327499999998,-34.0792774,1575000,11
18.4083179,-33.9352956,2495000,258
18.5129247,-33.9655519,2400000,5
18.426492,-34.1674705,1350000,5
18.4310039,-34.1648439,2950000,14
18.4283465,-34.1534172,4345000,6
18.3771645,-34.0921236,39500000,3
