Area,Price,n
SUNVALLEY,1695000,1
SUNVALLEY,2624999.9999999995,6
SCHOTSCHEKLOOF,3324999.9999999995,60
TAMBOERSKLOOF,3195000.0000000005,91
FRESNAYE,9950000,167
HAZENDAL,1894499.9999999998,6
SYBRAND PARK,2800000,3
LAVENDER HILL,499999.00000000006,11
TOKAI,6999999,13
WESTLAKE,8995000,18
WESTLAKE,6550000.000000001,33
WESTLAKE,3720000,7
MISTY CLIFFS,11299999.999999998,6
ROSEBANK,1525000,87
ELFINDALE,1199500.0000000002,2
HEATHFIELD,1150000,49
ELFINDALE,2650000,1
LLANDUDNO,27000000.000000004,42
NOORDHOEK,8900000,7
NOORDHOEK,1960000,30
CAPE FARMS - DISTRICT H,5697500,14
NOORDHOEK,3700000,10
NOORDHOEK,39500000,3
NOORDHOEK,5675000,21
NOORDHOEK,5895000,5
NOORDHOEK,3500000,1
NOORDHOEK,4999000,11
SUNNYDALE,2400000,33
NOORDHOEK,5495000,1
SIMON'S TOWN,1650000,10
GLENCAIRN,3335000.0000000005,4
SIMON'S TOWN,5495000,5
GLENCAIRN,1350000,5
GLENCAIRN,2950000,14
SIMON'S TOWN,2950000,1
SIMON'S TOWN,4495000,9
CAPE FARMS - DISTRICT H,5595000,1
SIMON'S TOWN,2250000,18
SIMON'S TOWN,2475000.0000000005,10
SIMON'S TOWN,3475000.0000000005,58
SIMON'S TOWN,3520000,1
VREDEHOEK,3575000.0000000005,6
VREDEHOEK,3495000.0000000005,199
SCARBOROUGH,5699000,21
SEAWINDS,707000,4
OCEAN VIEW,850000,17
GLENCAIRN,5800000,7
GLENCAIRN,4345000,6
GLENCAIRN,2495000.0000000005,9
STEENBERG,1575000,11
RETREAT,950000,1
STEENBERG,1670000,6
MUIZENBERG,2450000,1
MAITLAND GARDEN VILLAGE,799500,2
CAMPS BAY / BAKOVEN,19975000,18
CONSTANTIA,35000000,1
BISHOPSCOURT,23950000,31
BISHOPSCOURT,7849999.999999999,7
CAMPS BAY / BAKOVEN,14950000,329
CONSTANTIA,14499999.999999998,1
HOUT BAY,5172500,10
GARDENS,15000000,34
HOUT BAY,3300000,1
HOUT BAY,6495000,6
NEWLANDS,6449999.999999999,148
ORANJEZICHT,2750000,140
CAMPS BAY / BAKOVEN,5999000,1
CONSTANTIA,6449999.999999999,1
WOODSTOCK,3197500,6
WYNBERG,975000,139
WYNBERG,2195000,141
CAPRI,2600000,39
SUNNYDALE,2150000,7
SUNNYDALE,950000,1
FISH HOEK,5100000,5
BANTRY BAY,14995000,103
GARDENS,2495000.0000000005,258
SEA POINT,3995000.0000000005,726
CLIFTON,26499975,56
LAKESIDE,3575000.0000000005,28
RETREAT,822000,2
RETREAT,1550000,25
MEADOWRIDGE,4095000.0000000005,8
OBSERVATORY,1995000,333
SALT RIVER,1800000,79
BERGVLIET,3995000.0000000005,35
KIRSTENHOF,2495000.0000000005,21
TOKAI,14899999.999999998,5
TOKAI,14995000,16
TOKAI,3995000.0000000005,82
TOKAI,12995000,16
KOMMETJIE,3692500,8
CAPE FARMS - DISTRICT H,2422500,8
KOMMETJIE,4950000.000000001,9
KOMMETJIE,3822500,42
ZONNEBLOEM,14000000,1
ZONNEBLOEM,1780000,230
HOUT BAY,6900000,11
HOUT BAY,6200000,8
CAPE FARMS - DISTRICT H,5625000,4
MUIZENBERG,2400000,32
CLOVELLY,4495000,17
CONSTANTIA,12499999.999999998,197
CONSTANTIA,7095000,1
MUIZENBERG,1100000,9
DIEPRIVER,1725531.5,86
FISH HOEK,2165000,149
CAPE FARMS - DISTRICT H,4700000,6
HOUT BAY,4972500,2
CONSTANTIA,7950000.000000001,1
MUIZENBERG,10650000,4
HOUT BAY,5395000,17
HOUT BAY,4500000,104
HOUT BAY,1562499.9999999998,4
HOUT BAY,2495000.0000000005,1
CONSTANTIA,6500000,1
KALK BAY,5300000,28
HOUT BAY,6249999.999999999,1
CONSTANTIA,5772500,4
HOUT BAY,4100000,10
MUIZENBERG,2900000,45
SUNNYDALE,1445000,8
HOUT BAY,5649999.999999999,5
MUIZENBERG,1585000,146
HOUT BAY,3650000,28
HOUT BAY,5825000,2
HOUT BAY,4350000,13
FISH HOEK,2100000,1
HOUT BAY,3950000,7
PLUMSTEAD,2195000,150
HOUT BAY,36000000,1
HOUT BAY,4500000,49
FISH HOEK,1837500.0000000002,2
CONSTANTIA,8950000,1
SOUTHFIELD,2295000,25
ST JAMES,12499999.999999998,30
HOUT BAY,6995000,13
HOUT BAY,7900000,12
FORESHORE,3250000,103
RONDEBOSCH,2250000,242
RONDEBOSCH,3250000,1
MOWBRAY,1800000,27
CLAREMONT,2319500,34
KENILWORTH,1695000,123
KENILWORTH,2992500,154
CLAREMONT,2350000,167
CLAREMONT,3250000,200
CAPE TOWN CITY CENTRE,2290000,1147
CAPE TOWN CITY CENTRE,3896999.9999999995,260
RONDEBOSCH EAST,3850000,26
HOUT BAY,7500000,5
HOUT BAY,5200000,4
HOUT BAY,16947500,8
WOODSTOCK,2750000,31
WOODSTOCK,1900000,408
MOWBRAY,2147500,78
